trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0102,1.83,3.67,0.63,0.0,1.05
RO-ARQ-0103,1.79,4.54,0.731,0.0,1.02
RO-ARQ-0104,3.43,5.58,0.222,0.0,1.97
RO-ARQ-0105,1.56,2.61,0.722,0.0,0.89
RO-ARQ-0106,2.26,5.79,0.444,0.0,1.29
RO-ARQ-0107,1.93,3.14,0.526,0.0,1.11
RO-ARQ-0108,1.48,3.55,0.706,0.0,0.85
RO-ARQ-0109,1.78,6.17,0.71,0.0,1.02
RO-ARQ-0110,2.77,5.62,0.667,0.0,1.59
RO-ARQ-0111,2.12,3.8,0.4,0.0,1.21
RO-ARQ-0112,2.12,3.8,0.4,0.0,1.21
RO-ARQ-0113,0.96,1.51,1.0,0.0,0.55
RO-ARQ-0114,4.22,7.08,0.286,0.0,2.42
RO-ARQ-0115,2.82,5.5,0.267,0.0,1.62
RO-ARQ-0116,2.6,4.67,0.312,0.0,1.49
RO-ARQ-0117,2.18,4.11,0.5,0.0,1.25
RO-ARQ-0118,2.7,4.3,0.4,0.0,1.55
RO-ARQ-0119,2.0,3.39,0.667,0.0,1.15
RO-ARQ-0120,1.9,3.94,0.429,0.0,1.09
RO-ARQ-0121,2.21,3.34,0.4,0.0,1.26
RO-ARQ-0122,3.06,4.83,0.2,0.0,1.75
RO-ARQ-0123,1.9,4.5,0.571,0.0,1.09
RO-ARQ-0124,1.98,3.49,0.667,0.0,1.14
RO-ARQ-0125,2.47,4.32,0.4,0.0,1.41
RO-ARQ-0126,1.85,3.18,0.727,0.0,1.06
RO-ARQ-0127,4.0,5.44,0.0,0.0,2.29
RO-ARQ-0128,2.99,6.64,0.265,0.0,1.71
RO-ARQ-0129,2.27,5.95,0.537,0.0,1.3
RO-ARQ-0130,2.16,5.95,0.448,0.0,1.24
RO-ARQ-0131,3.54,6.21,0.176,0.0,2.03
RO-ARQ-0132,2.76,3.95,0.308,0.0,1.58
RO-ARQ-0133,4.11,7.47,0.067,0.0,2.35
RO-ARQ-0134,2.12,4.23,0.533,0.0,1.21
RO-ARQ-0135,1.7,2.93,0.7,0.0,0.98
RO-ARQ-0136,2.4,5.15,0.571,0.0,1.37
RO-ARQ-0137,1.93,3.32,0.6,0.0,1.11
RO-ARQ-0138,2.36,4.51,0.4,0.0,1.35
RO-ARQ-0139,2.03,3.24,0.467,0.0,1.16
RO-ARQ-0140,2.15,4.99,0.479,0.0,1.23
RO-ARQ-0141,2.0,4.07,0.426,0.0,1.15
RO-ARQ-0142,2.92,4.18,0.133,0.0,1.67
RO-ARQ-0143,1.35,2.76,0.87,0.0,0.77
RO-ARQ-0144,1.48,2.33,0.808,0.0,0.85
RO-ARQ-0145,2.05,3.98,0.441,0.0,1.18
RO-ARQ-0146,2.38,5.12,0.4,0.0,1.37
RO-ARQ-0147,1.91,5.91,0.6,0.0,1.1
RO-ARQ-0148,2.63,6.55,0.366,0.0,1.51
RO-ARQ-0149,2.39,4.49,0.333,0.0,1.37
RO-ARQ-0150,3.32,5.78,0.111,0.0,1.9
RO-ARQ-0151,2.36,4.69,0.28,0.0,1.35
RO-ARQ-0152,2.01,3.78,0.647,0.0,1.15
RO-ARQ-0153,2.12,4.4,0.562,0.0,1.21
RO-ARQ-0154,2.41,6.17,0.377,0.0,1.38
RO-ARQ-0155,4.02,5.41,0.167,0.0,2.3
RO-ARQ-0156,2.92,6.17,0.216,0.0,1.67
RO-ARQ-0157,2.73,4.55,0.333,0.0,1.57
RO-ARQ-0158,2.58,4.44,0.5,0.0,1.48
RO-ARQ-0159,3.02,7.39,0.4,0.0,1.73
RO-ARQ-0160,3.57,6.69,0.333,0.0,2.05
RO-ARQ-0161,2.35,4.81,0.389,0.0,1.34
RO-ARQ-0162,2.61,4.09,0.25,0.0,1.49
RO-ARQ-0163,1.62,3.72,0.724,0.0,0.93
RO-ARQ-0164,1.72,2.97,0.667,0.0,0.99
RO-ARQ-0165,2.83,4.41,0.167,0.0,1.62
RO-ARQ-0166,3.84,5.72,0.143,0.0,2.2
RO-ARQ-0167,1.54,2.0,0.8,0.0,0.88
RO-ARQ-0168,1.64,2.77,0.619,0.0,0.94
RO-ARQ-0169,1.66,2.76,0.833,0.0,0.95
RO-ARQ-0170,2.11,4.33,0.545,0.0,1.21
RO-ARQ-0171,4.89,5.79,0.0,0.0,2.8
RO-ARQ-0172,2.08,4.32,0.5,0.0,1.19
RO-ARQ-0173,2.19,6.03,0.556,0.0,1.25
RO-ARQ-0174,2.11,6.13,0.5,0.0,1.21
RO-ARQ-0175,1.68,4.47,0.658,0.0,0.96
RO-ARQ-0176,2.11,4.12,0.526,0.0,1.21
RO-ARQ-0177,1.6,3.34,0.656,0.0,0.92
RO-ARQ-0178,6.67,8.85,0.0,0.5,3.82
RO-ARQ-0179,2.53,4.18,0.28,0.0,1.45
RO-ARQ-0180,3.42,5.28,0.059,0.0,1.96
RO-ARQ-0181,3.05,4.7,0.222,0.0,1.75
RO-ARQ-0182,1.62,3.53,0.704,0.0,0.93
RO-ARQ-0183,3.03,4.96,0.105,0.0,1.73
RO-ARQ-0184,2.27,4.57,0.423,0.0,1.3
RO-ARQ-0185,2.59,4.19,0.222,0.0,1.49
RO-ARQ-0186,1.79,3.38,0.579,0.0,1.02
RO-ARQ-0187,2.01,4.28,0.571,0.0,1.15
RO-ARQ-0188,2.39,3.51,0.31,0.0,1.37
